기록,분절,박동위치,ST60_mV__x_clean(참값),ST80_mV__x_clean(참값),QT_ms__x_clean(참값),QTc_ms__x_clean(참값),R진폭_mV__x_clean(참값),QRS면적_mVms__x_clean(참값),ST60_mV__x_noisy(처리전),ST80_mV__x_noisy(처리전),QT_ms__x_noisy(처리전),QTc_ms__x_noisy(처리전),R진폭_mV__x_noisy(처리전),QRS면적_mVms__x_noisy(처리전),ST60_mV__B재구성(처리후),ST80_mV__B재구성(처리후),QT_ms__B재구성(처리후),QTc_ms__B재구성(처리후),R진폭_mV__B재구성(처리후),QRS면적_mVms__B재구성(처리후),ST60_mV_참값,ST60_mV_처리전,ST60_mV_처리후,ST80_mV_참값,ST80_mV_처리전,ST80_mV_처리후,QT_ms_참값,QT_ms_처리전,QT_ms_처리후,QTc_ms_참값,QTc_ms_처리전,QTc_ms_처리후,R진폭_mV_참값,R진폭_mV_처리전,R진폭_mV_처리후,QRS면적_mVms_참값,QRS면적_mVms_처리전,QRS면적_mVms_처리후
100,0,370,-0.06167,-0.07167,236.11111,,1.28333,31.72222,-0.15892,-0.15557,177.77778,,1.28787,32.67838,0.05317,0.04574,258.33333,,1.49003,35.77551,-0.06167,-0.09725,0.11483,-0.07167,-0.0839,0.1174,236.11111,-58.33333,22.22222,,,,1.28333,0.00454,0.2067,31.72222,0.95616,4.05329
100,0,663,-0.027,-0.047,202.77778,224.76972,1.338,26.68611,-0.0868,-0.10991,194.44444,215.53261,1.31347,27.85252,0.05466,0.04283,419.44444,464.93462,1.33815,31.11413,-0.027,-0.0598,0.08166,-0.047,-0.06291,0.08983,202.77778,-8.33333,216.66667,224.76972,-9.23711,240.1649,1.338,-0.02453,0.00015,26.68611,1.1664,4.42801
100,0,947,0.02167,0.02167,388.88889,437.8422,1.28167,27.58333,0.0938,0.05821,161.11111,181.39177,1.35846,30.55185,0.06767,0.06557,150.0,168.88199,1.31263,29.18166,0.02167,0.07214,0.046,0.02167,0.03655,0.04391,388.88889,-227.77778,-238.88889,437.8422,-256.45043,-268.96021,1.28167,0.07679,0.03096,27.58333,2.96852,1.59832
100,0,1231,-0.02667,-0.03667,136.11111,153.24477,1.18833,24.14815,-0.05207,-0.04453,136.11111,153.24477,1.17744,24.96055,0.12378,0.118,194.44444,218.9211,1.17529,27.32178,-0.02667,-0.0254,0.15045,-0.03667,-0.00786,0.15467,136.11111,0.0,58.33333,153.24477,0.0,65.67633,1.18833,-0.01089,-0.01304,24.14815,0.81241,3.17363
100,0,1515,-0.047,-0.047,233.33333,262.70532,1.248,25.71389,-0.05257,-0.04313,155.55556,175.13688,1.30823,26.93078,0.07186,0.06858,241.66667,272.08765,1.22318,27.67373,-0.047,-0.00557,0.11886,-0.047,0.00387,0.11558,233.33333,-77.77778,8.33333,262.70532,-87.56844,9.38233,1.248,0.06023,-0.02482,25.71389,1.21689,1.95984
100,0,1809,-0.048,-0.058,202.77778,224.38713,1.292,27.86667,-0.19202,-0.19295,219.44444,242.82991,1.21264,31.56773,0.09869,0.09429,166.66667,184.42778,1.31897,29.84829,-0.048,-0.14402,0.14669,-0.058,-0.13495,0.15229,202.77778,16.66667,-36.11111,224.38713,18.44278,-39.95935,1.292,-0.07936,0.02697,27.86667,3.70107,1.98163
100,0,2045,-0.04067,-0.02567,194.44444,240.15453,1.23933,26.9463,-0.01304,0.06487,411.11111,507.7553,1.23402,26.73717,0.09603,0.10356,491.66667,607.24789,1.28381,25.36857,-0.04067,0.02763,0.13669,-0.02567,0.09054,0.12922,194.44444,216.66667,297.22222,240.15453,267.60077,367.09336,1.23933,-0.00532,0.04447,26.9463,-0.20913,-1.57772
100,0,2403,-0.01633,-0.03633,200.0,200.55788,1.29367,29.67685,-0.0815,-0.10472,205.55556,206.12893,1.2277,31.40821,0.08421,0.08729,344.44444,345.40524,1.41438,32.89386,-0.01633,-0.06517,0.10055,-0.03633,-0.06839,0.12362,200.0,5.55556,144.44444,200.55788,5.57105,144.84736,1.29367,-0.06597,0.12071,29.67685,1.73136,3.21701
100,0,2706,-0.013,-0.018,244.44444,266.44655,1.272,27.59167,0.19465,0.07888,163.88889,178.6403,1.29128,29.64899,0.06349,0.05152,183.33333,199.83492,1.36103,29.26422,-0.013,0.20765,0.07649,-0.018,0.09688,0.06952,244.44444,-80.55556,-61.11111,266.44655,-87.80625,-66.61164,1.272,0.01928,0.08903,27.59167,2.05732,1.67255
100,0,2998,-0.04267,-0.03767,227.77778,252.91301,1.27233,25.79907,-0.13066,-0.15993,200.0,222.06996,1.26441,28.33258,0.08029,0.07502,166.66667,185.0583,1.39034,30.56644,-0.04267,-0.08799,0.12295,-0.03767,-0.12226,0.11268,227.77778,-27.77778,-61.11111,252.91301,-30.84305,-67.85471,1.27233,-0.00792,0.118,25.79907,2.5335,4.76737
