기록,분절,박동위치,ST60_mV__x_clean(참값),ST80_mV__x_clean(참값),QT_ms__x_clean(참값),QTc_ms__x_clean(참값),R진폭_mV__x_clean(참값),QRS면적_mVms__x_clean(참값),ST60_mV__x_noisy(처리전),ST80_mV__x_noisy(처리전),QT_ms__x_noisy(처리전),QTc_ms__x_noisy(처리전),R진폭_mV__x_noisy(처리전),QRS면적_mVms__x_noisy(처리전),ST60_mV__B재구성(처리후),ST80_mV__B재구성(처리후),QT_ms__B재구성(처리후),QTc_ms__B재구성(처리후),R진폭_mV__B재구성(처리후),QRS면적_mVms__B재구성(처리후),ST60_mV_참값,ST60_mV_처리전,ST60_mV_처리후,ST80_mV_참값,ST80_mV_처리전,ST80_mV_처리후,QT_ms_참값,QT_ms_처리전,QT_ms_처리후,QTc_ms_참값,QTc_ms_처리전,QTc_ms_처리후,R진폭_mV_참값,R진폭_mV_처리전,R진폭_mV_처리후,QRS면적_mVms_참값,QRS면적_mVms_처리전,QRS면적_mVms_처리후
100,0,370,-0.06167,-0.07167,236.11111,,1.28333,31.72222,-0.15892,-0.15557,177.77778,,1.28787,32.67838,0.00634,0.01681,183.33333,,1.47346,31.69341,-0.06167,-0.09725,0.06801,-0.07167,-0.0839,0.08848,236.11111,-58.33333,-52.77778,,,,1.28333,0.00454,0.19013,31.72222,0.95616,-0.02881
100,0,663,-0.027,-0.047,202.77778,224.76972,1.338,26.68611,-0.0868,-0.10991,194.44444,215.53261,1.31347,27.85252,0.01746,0.02227,163.88889,181.6632,1.44396,28.45221,-0.027,-0.0598,0.04446,-0.047,-0.06291,0.06927,202.77778,-8.33333,-38.88889,224.76972,-9.23711,-43.10652,1.338,-0.02453,0.10596,26.68611,1.1664,1.7661
100,0,947,0.02167,0.02167,388.88889,437.8422,1.28167,27.58333,0.0938,0.05821,161.11111,181.39177,1.35846,30.55185,0.05225,0.07372,316.66667,356.52865,1.46296,29.82885,0.02167,0.07214,0.03058,0.02167,0.03655,0.05205,388.88889,-227.77778,-72.22222,437.8422,-256.45043,-81.31355,1.28167,0.07679,0.18129,27.58333,2.96852,2.24552
100,0,1231,-0.02667,-0.03667,136.11111,153.24477,1.18833,24.14815,-0.05207,-0.04453,136.11111,153.24477,1.17744,24.96055,0.04051,0.03639,152.77778,172.00943,1.2975,27.00676,-0.02667,-0.0254,0.06718,-0.03667,-0.00786,0.07306,136.11111,0.0,16.66667,153.24477,0.0,18.76467,1.18833,-0.01089,0.10916,24.14815,0.81241,2.85861
100,0,1515,-0.047,-0.047,233.33333,262.70532,1.248,25.71389,-0.05257,-0.04313,155.55556,175.13688,1.30823,26.93078,0.00585,-0.03374,161.11111,181.39177,1.47092,30.39703,-0.047,-0.00557,0.05285,-0.047,0.00387,0.01326,233.33333,-77.77778,-72.22222,262.70532,-87.56844,-81.31355,1.248,0.06023,0.22292,25.71389,1.21689,4.68315
100,0,1809,-0.048,-0.058,202.77778,224.38713,1.292,27.86667,-0.19202,-0.19295,219.44444,242.82991,1.21264,31.56773,0.003,0.02365,191.66667,212.09195,1.38973,28.52301,-0.048,-0.14402,0.051,-0.058,-0.13495,0.08165,202.77778,16.66667,-11.11111,224.38713,18.44278,-12.29519,1.292,-0.07936,0.09773,27.86667,3.70107,0.65634
100,0,2045,-0.04067,-0.02567,194.44444,240.15453,1.23933,26.9463,-0.01304,0.06487,411.11111,507.7553,1.23402,26.73717,-0.02682,-0.01223,152.77778,188.69285,1.25595,28.27354,-0.04067,0.02763,0.01385,-0.02567,0.09054,0.01344,194.44444,216.66667,-41.66667,240.15453,267.60077,-51.46169,1.23933,-0.00532,0.01662,26.9463,-0.20913,1.32724
100,0,2403,-0.01633,-0.03633,200.0,200.55788,1.29367,29.67685,-0.0815,-0.10472,205.55556,206.12893,1.2277,31.40821,0.035,0.01173,269.44444,270.19603,1.40198,30.26932,-0.01633,-0.06517,0.05133,-0.03633,-0.06839,0.04806,200.0,5.55556,69.44444,200.55788,5.57105,69.63815,1.29367,-0.06597,0.10831,29.67685,1.73136,0.59246
100,0,2706,-0.013,-0.018,244.44444,266.44655,1.272,27.59167,0.19465,0.07888,163.88889,178.6403,1.29128,29.64899,0.13089,0.11807,175.0,190.75151,1.48595,30.82025,-0.013,0.20765,0.14389,-0.018,0.09688,0.13607,244.44444,-80.55556,-69.44444,266.44655,-87.80625,-75.69504,1.272,0.01928,0.21395,27.59167,2.05732,3.22858
100,0,2998,-0.04267,-0.03767,227.77778,252.91301,1.27233,25.79907,-0.13066,-0.15993,200.0,222.06996,1.26441,28.33258,-0.00734,-0.01213,161.11111,178.88969,1.49443,29.48887,-0.04267,-0.08799,0.03532,-0.03767,-0.12226,0.02554,227.77778,-27.77778,-66.66667,252.91301,-30.84305,-74.02332,1.27233,-0.00792,0.2221,25.79907,2.5335,3.68979
