기록,분절,박동위치,ST60_mV__x_clean(참값),ST80_mV__x_clean(참값),QT_ms__x_clean(참값),QTc_ms__x_clean(참값),R진폭_mV__x_clean(참값),QRS면적_mVms__x_clean(참값),ST60_mV__x_noisy(처리전),ST80_mV__x_noisy(처리전),QT_ms__x_noisy(처리전),QTc_ms__x_noisy(처리전),R진폭_mV__x_noisy(처리전),QRS면적_mVms__x_noisy(처리전),ST60_mV__B재구성(처리후),ST80_mV__B재구성(처리후),QT_ms__B재구성(처리후),QTc_ms__B재구성(처리후),R진폭_mV__B재구성(처리후),QRS면적_mVms__B재구성(처리후),ST60_mV_참값,ST60_mV_처리전,ST60_mV_처리후,ST80_mV_참값,ST80_mV_처리전,ST80_mV_처리후,QT_ms_참값,QT_ms_처리전,QT_ms_처리후,QTc_ms_참값,QTc_ms_처리전,QTc_ms_처리후,R진폭_mV_참값,R진폭_mV_처리전,R진폭_mV_처리후,QRS면적_mVms_참값,QRS면적_mVms_처리전,QRS면적_mVms_처리후
100,0,370,-0.06167,-0.07167,236.11111,,1.28333,31.72222,-0.15892,-0.15557,177.77778,,1.28787,32.67838,0.01108,0.02145,183.33333,,1.41657,30.78445,-0.06167,-0.09725,0.07275,-0.07167,-0.0839,0.09312,236.11111,-58.33333,-52.77778,,,,1.28333,0.00454,0.13323,31.72222,0.95616,-0.93778
100,0,663,-0.027,-0.047,202.77778,224.76972,1.338,26.68611,-0.0868,-0.10991,194.44444,215.53261,1.31347,27.85252,0.03261,0.05279,194.44444,215.53261,1.3808,28.02972,-0.027,-0.0598,0.05961,-0.047,-0.06291,0.09979,202.77778,-8.33333,-8.33333,224.76972,-9.23711,-9.23711,1.338,-0.02453,0.0428,26.68611,1.1664,1.34361
100,0,947,0.02167,0.02167,388.88889,437.8422,1.28167,27.58333,0.0938,0.05821,161.11111,181.39177,1.35846,30.55185,0.03612,0.04905,175.0,197.02899,1.30689,28.24181,0.02167,0.07214,0.01445,0.02167,0.03655,0.02739,388.88889,-227.77778,-213.88889,437.8422,-256.45043,-240.81321,1.28167,0.07679,0.02523,27.58333,2.96852,0.65847
100,0,1231,-0.02667,-0.03667,136.11111,153.24477,1.18833,24.14815,-0.05207,-0.04453,136.11111,153.24477,1.17744,24.96055,0.00437,0.02693,183.33333,206.41132,1.17342,23.5186,-0.02667,-0.0254,0.03104,-0.03667,-0.00786,0.06359,136.11111,0.0,47.22222,153.24477,0.0,53.16655,1.18833,-0.01089,-0.01492,24.14815,0.81241,-0.62954
100,0,1515,-0.047,-0.047,233.33333,262.70532,1.248,25.71389,-0.05257,-0.04313,155.55556,175.13688,1.30823,26.93078,-0.02487,-0.0159,311.11111,350.27376,1.31954,27.04657,-0.047,-0.00557,0.02213,-0.047,0.00387,0.0311,233.33333,-77.77778,77.77778,262.70532,-87.56844,87.56844,1.248,0.06023,0.07154,25.71389,1.21689,1.33268
100,0,1809,-0.048,-0.058,202.77778,224.38713,1.292,27.86667,-0.19202,-0.19295,219.44444,242.82991,1.21264,31.56773,0.00758,0.01359,175.0,193.64917,1.34006,28.81379,-0.048,-0.14402,0.05558,-0.058,-0.13495,0.07159,202.77778,16.66667,-27.77778,224.38713,18.44278,-30.73796,1.292,-0.07936,0.04806,27.86667,3.70107,0.94712
100,0,2045,-0.04067,-0.02567,194.44444,240.15453,1.23933,26.9463,-0.01304,0.06487,411.11111,507.7553,1.23402,26.73717,0.00706,0.03644,113.88889,140.66194,1.21066,24.72372,-0.04067,0.02763,0.04773,-0.02567,0.09054,0.0621,194.44444,216.66667,-80.55556,240.15453,267.60077,-99.49259,1.23933,-0.00532,-0.02867,26.9463,-0.20913,-2.22258
100,0,2403,-0.01633,-0.03633,200.0,200.55788,1.29367,29.67685,-0.0815,-0.10472,205.55556,206.12893,1.2277,31.40821,-0.03068,-0.01741,330.55556,331.47761,1.27649,27.10571,-0.01633,-0.06517,-0.01435,-0.03633,-0.06839,0.01893,200.0,5.55556,130.55556,200.55788,5.57105,130.91973,1.29367,-0.06597,-0.01718,29.67685,1.73136,-2.57114
100,0,2706,-0.013,-0.018,244.44444,266.44655,1.272,27.59167,0.19465,0.07888,163.88889,178.6403,1.29128,29.64899,0.02345,0.04576,291.66667,317.91918,1.27777,26.19491,-0.013,0.20765,0.03645,-0.018,0.09688,0.06376,244.44444,-80.55556,47.22222,266.44655,-87.80625,51.47263,1.272,0.01928,0.00577,27.59167,2.05732,-1.39675
100,0,2998,-0.04267,-0.03767,227.77778,252.91301,1.27233,25.79907,-0.13066,-0.15993,200.0,222.06996,1.26441,28.33258,0.03071,0.04382,286.11111,317.68342,1.33483,26.92813,-0.04267,-0.08799,0.07337,-0.03767,-0.12226,0.08148,227.77778,-27.77778,58.33333,252.91301,-30.84305,64.77041,1.27233,-0.00792,0.0625,25.79907,2.5335,1.12906
100,0,3283,-0.02467,-0.01467,,,1.19033,24.55648,0.05765,0.07452,,,1.21889,25.06814,0.01663,0.02336,,,1.22212,25.60955,-0.02467,0.08231,0.0413,-0.01467,0.08919,0.03802,,,,,,,1.19033,0.02856,0.03179,24.55648,0.51166,1.05307
100,1,263,-0.02467,-0.01967,277.77778,,1.27533,27.41759,0.42118,0.40248,175.0,,1.2853,27.42569,0.05348,0.06687,336.11111,,1.25666,24.53043,-0.02467,0.44584,0.07815,-0.01967,0.42215,0.08654,277.77778,-102.77778,58.33333,,,,1.27533,0.00997,-0.01867,27.41759,0.00809,-2.88716
100,1,571,0.03033,0.01533,172.22222,186.19374,1.27033,27.63426,0.30997,0.34683,341.66667,369.38436,1.41896,39.44332,0.0592,0.08926,133.33333,144.14999,1.31999,28.2894,0.03033,0.27963,0.02887,0.01533,0.3315,0.07393,172.22222,169.44444,-38.88889,186.19374,183.19062,-42.04375,1.27033,0.14863,0.04965,27.63426,11.80906,0.65514
100,1,866,-0.02733,-0.04733,125.0,138.08619,1.15767,25.88148,-0.10353,-0.11913,150.0,165.70343,1.10827,28.1734,-0.00231,0.01258,255.55556,282.30955,1.20058,25.43679,-0.02733,-0.07619,0.02502,-0.04733,-0.07179,0.05991,125.0,25.0,130.55556,138.08619,27.61724,144.22336,1.15767,-0.0494,0.04291,25.88148,2.29192,-0.44469
100,1,1165,-0.03633,-0.03133,291.66667,320.03867,1.23367,26.87778,0.0244,0.07824,166.66667,182.87924,1.20171,25.97862,0.05221,0.07664,283.33333,310.89471,1.26421,27.67777,-0.03633,0.06074,0.08854,-0.03133,0.10957,0.10798,291.66667,-125.0,-8.33333,320.03867,-137.15943,-9.14396,1.23367,-0.03196,0.03055,26.87778,-0.89916,0.8
100,1,1461,-0.03733,-0.03233,130.55556,143.97953,1.27767,26.45093,-0.16504,-0.11936,219.44444,242.00815,1.25847,30.27407,0.04623,0.05207,288.88889,318.593,1.39772,28.43401,-0.03733,-0.12771,0.08357,-0.03233,-0.08703,0.0844,130.55556,88.88889,158.33333,143.97953,98.02862,174.61347,1.27767,-0.0192,0.12006,26.45093,3.82315,1.98309
100,1,1747,-0.01967,-0.00467,186.11111,208.80483,1.17533,23.975,-0.01516,-0.01857,472.22222,529.80329,1.42916,36.02238,-0.00148,-0.00579,177.77778,199.45536,1.3505,30.75369,-0.01967,0.00451,0.01818,-0.00467,-0.0139,-0.00113,186.11111,286.11111,-8.33333,208.80483,320.99847,-9.34947,1.17533,0.25383,0.17517,23.975,12.04738,6.77869
100,1,2034,-0.01333,-0.01833,133.33333,149.33068,1.34667,34.31482,0.00944,0.04882,352.77778,395.10409,1.339,35.09814,-0.02221,-0.01427,230.55556,258.21763,1.48038,34.86907,-0.01333,0.02277,-0.00888,-0.01833,0.06715,0.00406,133.33333,219.44444,97.22222,149.33068,245.77341,108.88695,1.34667,-0.00767,0.13371,34.31482,0.78332,0.55425
100,1,2318,-0.021,-0.041,150.0,168.88199,1.254,26.39167,-0.13094,-0.1684,116.66667,131.35266,1.16939,30.17754,0.0082,0.03649,119.44444,134.4801,1.23897,25.30953,-0.021,-0.10994,0.0292,-0.041,-0.1274,0.07749,150.0,-33.33333,-30.55556,168.88199,-37.52933,-34.40189,1.254,-0.08461,-0.01503,26.39167,3.78587,-1.08213
100,1,2615,-0.03433,-0.00933,177.77778,195.72689,1.33067,28.86389,0.21253,0.04741,186.11111,204.90159,1.25495,32.003,0.03185,0.0584,141.66667,155.96987,1.34184,26.98325,-0.03433,0.24686,0.06619,-0.00933,0.05674,0.06773,177.77778,8.33333,-36.11111,195.72689,9.1747,-39.75702,1.33067,-0.07572,0.01117,28.86389,3.13911,-1.88064
100,1,2927,-0.03367,-0.01367,177.77778,190.96397,1.23633,27.14352,-0.28995,-0.28704,288.88889,310.31645,1.14621,30.66811,0.01278,0.03935,319.44444,343.13838,1.27448,24.94564,-0.03367,-0.25629,0.04645,-0.01367,-0.27338,0.05302,177.77778,111.11111,141.66667,190.96397,119.35248,152.17441,1.23633,-0.09012,0.03814,27.14352,3.52459,-2.19788
100,1,3224,-0.03433,-0.03933,,,1.25567,27.15093,0.17356,0.13901,,,1.31063,29.78483,0.03477,0.06275,,,1.27177,26.8411,-0.03433,0.20789,0.06911,-0.03933,0.17834,0.10209,,,,,,,1.25567,0.05497,0.0161,27.15093,2.63391,-0.30983
100,2,193,0.01967,0.01967,183.33333,,1.42967,37.48889,-0.13468,-0.1295,477.77778,,1.36343,38.4555,-0.07718,-0.07639,447.22222,,1.36126,31.84848,0.01967,-0.15434,-0.09684,0.01967,-0.14916,-0.09606,183.33333,294.44444,263.88889,,,,1.42967,-0.06623,-0.0684,37.48889,0.96661,-5.64041
100,2,470,-0.03067,-0.04067,138.88889,158.33571,1.22933,26.75556,0.39825,0.13569,166.66667,190.00285,1.33539,30.1326,0.04293,0.04587,283.33333,323.00485,1.1589,25.32836,-0.03067,0.42892,0.0736,-0.04067,0.17636,0.08653,138.88889,27.77778,144.44444,158.33571,31.66714,164.66914,1.22933,0.10606,-0.07043,26.75556,3.37704,-1.42719
